Id,Label,lat,lon
802042,Bolnica P. Držaja,46.067883,14.485481
802032,Na jami,46.06662,14.48971
404061,Zadvor,46.040257,14.597719
104321,JEŽICA P+R,46.098248,14.514144
804341,Oval,46.104149,14.449702
425011,Javor-2,46.012527,14.652871
503041,Peruzzijeva,46.02993,14.532611
405032,Besnica šola,46.035179,14.658356
515013,ŠKOFLJICA obrač.,45.979305,14.575409
103192,Božičeva,46.075573,14.520941
803052,Litostrojska,46.076759,14.488915
503031,Akademija,46.032204,14.52926
103081,N. STOŽICE P+R,46.081921,14.519762
100012,Navje,46.059723,14.509243
804021,Prušnikova,46.089832,14.471766
202092,Središka,46.062981,14.525992
201012,ŽELEZNA,46.061253,14.513248
702031,Svetčeva,46.052612,14.488079
602071,Mirje,46.044579,14.500682
104031,Ježica,46.09745,14.516942
404011,Hrušica,46.045521,14.559455
204401,Ihan Flerin,46.109303,14.621967
204171,BERIČEVO,46.090172,14.613146
406051,Smrekarjevo,46.028759,14.726521
803102,Tržnica Koseze,46.074387,14.475812
502031,Streliška,46.044617,14.516821
203061,Tovorni kolodvor,46.061638,14.538949
102042,Stadion,46.069427,14.510455
204101,Novo Polje,46.063267,14.583212
402032,Klinični center,46.052315,14.520921
804042,Šentvid,46.096806,14.46499
804091,Na klancu,46.104271,14.462786
803012,Slovenija avto,46.073914,14.486595
603152,Golouhova,46.031658,14.516356
203041,Šola Jarše,46.066689,14.532968
204142,Belinka,46.091244,14.575473
103122,Čerinova,46.09029,14.512338
700012,Gosposvetska,46.056129,14.502123
405071,Zg. Besnica,46.026161,14.701832
603091,Livada,46.034203,14.511116
804041,Šentvid,46.095272,14.466693
204201,Saturnus,46.067265,14.608861
304141,ZD Polje,46.052444,14.590629
404192,Pot heroja Trtnika,46.043903,14.59494
304071,Polje,46.054028,14.582697
104331,Sp. Gameljne 1,46.116585,14.506045
815112,Kajakaška,46.117931,14.456112
502024,Cukrarna,46.049263,14.519643
745021,Erbežnik,46.002209,14.413485
404142,Pod Urhom,46.03817,14.589188
602022,Drama,46.048771,14.501769
600032,Dalmatinova,46.053883,14.506376
415061,MALI LIPOGLAV,45.992233,14.64786
802012,Stara cerkev,46.064987,14.494161
804082,Kosmačeva,46.101002,14.461034
603181,BARJE P+R,46.026978,14.499829
801011,Tivoli,46.060444,14.497163
404022,Cesta v Bizovik,46.04435,14.570937
804502,Zakrajškova,46.082233,14.443847
604032,Mestni log,46.030689,14.471709
745101,OŠ Jezero,45.971729,14.429117
104342,Sp. Gameljne 2,46.120529,14.503875
304111,Petrol,46.056824,14.601487
804131,Martinova,46.113468,14.464373
415092,Pri Dolencu,46.017673,14.640804
203042,Šola Jarše,46.067261,14.534705
404072,Cesta v Zavoglje,46.040192,14.602766
744021,Japelj,46.011742,14.413038
744011,Šolska,46.017975,14.41521
304061,Studenec,46.054569,14.57584
104171,Zasavska,46.103947,14.545884
805032,Novo naselje,46.141754,14.410059
803091,Zgornja Šiška,46.07011,14.480242
703082,Vič Glince,46.043976,14.483762
104151,OŠ Maksa Pečarja,46.10548,14.534547
203152,Žito,46.069881,14.546728
404171,Pod Sivnikom,46.035954,14.624615
804211,Murkova,46.073624,14.450083
504012,Gornji Rudnik,46.028004,14.535614
603011,Jadranska,46.043617,14.488518
103132,Ruski car,46.09063,14.514007
504052,NS Rudnik,46.020245,14.534812
406032,Prežganje,46.020115,14.741287
204301,Ledena dvorana Zalog,46.062355,14.606994
804161,IMP,46.088715,14.477612
104192,Šmartno,46.12328,14.476823
202082,Flajšmanova,46.064548,14.52911
405061,Besnica kamnolom,46.02047,14.710193
103052,Tovarna Lek,46.079662,14.50143
303062,Archinetova,46.056038,14.556876
100022,Razstavišče,46.061157,14.507648
802011,Stara cerkev,46.063847,14.494407
102071,Vodovodna,46.074688,14.504491
603151,Golouhova,46.031422,14.517055
104201,Zg. Gameljne,46.125935,14.486848
804212,Murkova,46.07428,14.448434
803141,Koseze,46.072159,14.467331
104112,Rogovilc,46.102615,14.531404
602011,Cankarjev dom,46.050785,14.498333
802031,Na jami,46.066616,14.490035
804012,Trata,46.086884,14.47474
304121,Vevče Papirnica,46.047443,14.594364
502014,Ambrožev trg,46.049782,14.516542
504061,NS RUDNIK,46.018353,14.535336
804061,Stanežiče,46.110447,14.445918
404012,Hrušica,46.045238,14.560275
404081,Križišče Sostro,46.037361,14.608246
502011,Poljanska,46.050415,14.514441
703102,Bonifacija,46.040138,14.473077
605081,Ig Petrol,45.964005,14.529804
602092,Ziherlova,46.040382,14.499701
104111,Rogovilc,46.102283,14.529674
415081,Primožev ovinek,45.991776,14.658514
204192,Zeleni gaj,46.066555,14.612916
202091,Središka,46.062641,14.525023
501012,Ilirska,46.052895,14.513903
104052,Sava,46.100777,14.52176
403041,Štepanja vas,46.048023,14.537374
103072,Smelt,46.081985,14.513309
802051,Drenikova,46.067066,14.496106
204102,Novo Polje,46.063282,14.583388
815141,Zavrh,46.135735,14.444083
406072,Lanišče,46.045273,14.709684
415051,Pance,45.988564,14.664058
803011,Slovenija avto,46.073196,14.48622
203191,Yulon,46.062004,14.552727
404162,OŠ Sostro,46.035091,14.599316
104121,Polanškova,46.105934,14.525826
104033,JEŽICA,46.097492,14.516821
703101,Bonifacija,46.039669,14.472675
203071,Nove Žale,46.074604,14.531805
203062,Tovorni kolodvor,46.060337,14.539637
406042,Prežganje šola,46.023411,14.73045
745051,Podpeč,45.973492,14.421047
804022,Prušnikova,46.091019,14.471065
625022,Ig,45.960915,14.518658
504041,Jurčkova,46.026558,14.527631
803062,Ljubljanske brigade,46.081543,14.485271
104172,Zasavska,46.10342,14.54683
103211,Baragova,46.076294,14.515507
204041,Letališka,46.062237,14.569026
101031,Bežigrad,46.06377,14.511703
203044,Šola Jarše,46.065029,14.535752
304082,Polje-kolodvor,46.056973,14.583684
404032,Dobrunje,46.042938,14.580504
404122,Bizovik,46.037426,14.571088
203241,BTC-Merkur,46.063522,14.547042
304041,Chengdujska,46.055176,14.565897
703112,Dolgi most,46.036781,14.465192
803041,Dravlje,46.083961,14.477338
204272,Cesta v Kresnice,46.071602,14.636345
703041,Viško polje,46.045956,14.469599
804081,Kosmačeva,46.100723,14.460546
404202,Sostro - 2,46.033081,14.603621
304081,Polje-kolodvor,46.057392,14.583509
204432,Prelog,46.124191,14.614344
304062,Studenec,46.054173,14.577335
604012,Iški most,46.019913,14.510347
405021,Besnica,46.036663,14.650791
303011,Tržnica Moste,46.05582,14.534534
602032,Hajdrihova,46.045803,14.490064
404172,Pod Sivnikom,46.036026,14.624857
602121,TRNOVO,46.040989,14.509181
102041,Stadion,46.069347,14.510169
404051,KPL,46.041492,14.592139
204491,Goropečnikova,46.094906,14.584497
103062,Pohorskega bataljona,46.081913,14.507374
803222,Draga,46.067978,14.476771
104113,Primožičeva,46.102913,14.530358
204182,Center Zalog,46.061085,14.613663
504042,Jurčkova,46.025879,14.528792
103042,Puhova,46.077114,14.519713
203032,Tomačevska,46.06926,14.527694
614032,Dornig,46.008141,14.496644
402042,Bolnica,46.05442,14.529307
804402,Dolnice,46.082081,14.45029
104163,Črnuče,46.10392,14.534587
103092,Gorjančeva,46.086082,14.507829
402052,Glonarjeva,46.050571,14.527081
415012,Sadinja vas,46.021694,14.612069
804382,Zapuže,46.083443,14.458579
603081,Veliki štradon,46.037743,14.505013
602093,Ziherlova,46.041492,14.500039
204311,Hladilniška,46.062321,14.604221
303061,Archinetova,46.056263,14.555283
103071,Smelt,46.082478,14.513068
202012,Viadukt,46.059574,14.520962
803111,Čebelarska,46.079052,14.471246
203141,BTC-Emporium,46.062088,14.544991
604011,Iški most,46.02002,14.510541
203251,BTC-ATLANTIS,46.063457,14.548297
804071,Medno,46.124161,14.437172
501021,Zmajski most,46.051407,14.510719
704081,Pri Poku,46.024021,14.417821
304032,Rusjanov trg,46.05455,14.562848
816051,SORA obrač.,46.143822,14.366494
105102,SŠ Domžale,46.138428,14.601067
614081,Kozler,45.995037,14.465251
503012,Strelišče,46.03825,14.518193
815142,Zavrh,46.135845,14.444249
204352,Cesta na Kope,46.074177,14.583752
704062,Na Gmajnici,46.029594,14.439837
804201,Omersova,46.074135,14.453938
300015,KOLODVOR,46.05772,14.508122
704041,BOKALCE,46.052052,14.448149
105131,DOMŽALE kolodvor,46.141125,14.592573
304091,Cesta na Vevče,46.054001,14.588969
403062,Rast,46.046795,14.551751
104101,Kolodvor Črnuče,46.101528,14.526121
502021,Cukrarna,46.048363,14.519495
503022,Rakovnik,46.03548,14.524031
204261,Podgrad,46.06855,14.638023
614011,Plečnikova cerkev,46.01247,14.507524
504092,Lavrica,45.996948,14.558049
101051,Astra,46.064857,14.508737
625052,Iška vas,45.940269,14.511465
203052,Kavčičeva,46.064014,14.536492
503052,Mihov štradon,46.028999,14.522042
802052,Drenikova,46.066925,14.49586
103112,7. septembra,46.089836,14.508823
614021,Brglezov štradon,46.01004,14.501587
815042,ZG. Pirniče,46.14151,14.426354
303052,Pot na Fužine,46.056011,14.551225
415042,Selo,45.999229,14.657269
815011,Vikrče,46.12228,14.446165
204422,Ihan Emona,46.121273,14.61763
404121,Bizovik,46.037502,14.57114
815151,Preska,46.134663,14.411734
203072,Nove Žale,46.074524,14.532018
603121,Ižanska,46.036018,14.513099
603171,Opekarska,46.037384,14.503611
204121,BRNČIČEVA,46.093746,14.555819
104021,Kališnikov trg,46.093739,14.510587
603071,Pot na Rakovo jelšo,46.032867,14.501381
704101,Kozarje,46.031452,14.445827
703202,Ježkova,46.044769,14.46225
203211,Kranjčeva,46.069221,14.52589
603072,Pot na Rakovo jelšo,46.033329,14.501924
704182,Podvozna pot,46.035511,14.4609
405052,Besnica ambulanta,46.033226,14.687512
402031,Klinični center,46.052433,14.520597
404132,Dobrunje-2,46.038139,14.58295
805012,Medvoška a.p.,46.137974,14.415123
603144,Tbilisijska,46.034084,14.477067
404084,Križišče Sostro,46.037487,14.608483
804193,Pod Kamno Gorico,46.074257,14.455667
101032,Bežigrad,46.063519,14.511629
303032,Ob sotočju,46.054035,14.539985
704072,Radna,46.024437,14.42118
803032,Kompas,46.080235,14.480376
204214,Agrokombinatska,46.069695,14.603236
104202,Zg. Gameljne,46.125931,14.487072
803072,Tehnounion,46.086704,14.47993
300011,Kolodvor,46.057659,14.509347
103031,AMZS,46.077656,14.512012
803151,Draveljska gmajna,46.073818,14.461228
803211,Kovinarska,46.080406,14.491417
300014,SŽ KOLODVOR,46.057911,14.510148
703022,Cesta XV,46.045631,14.480826
803132,Bratov Učakar,46.069641,14.473516
803131,Bratov Učakar,46.069691,14.473123
602102,Gornji trg,46.045757,14.506405
104141,Pot v Hrastovec,46.108341,14.532182
815111,Kajakaška,46.117802,14.456541
406041,Prežganje šola,46.023342,14.730353
104091,Cesta na Brod,46.096611,14.546191
704051,Dolgi most Rotar,46.034039,14.453876
405011,Javor,46.040215,14.640107
102051,Podmilščakova,46.069813,14.5035
402061,Gornje Poljane,46.048935,14.522733
204232,Dragomelj,46.106461,14.594236
614101,Zidarjevec 2,46.004047,14.485861
804391,Kamnogoriška,46.083527,14.455612
203122,BTC-tržnica,46.064137,14.54355
102092,Kardeljeva ploščad,46.072613,14.51933
102081,Mercator,46.074173,14.511216
415082,Primožev ovinek,45.991966,14.658541
614041,Capuder,46.005997,14.491248
204083,Zadobrova,46.072594,14.5804
204471,Študa trgovina,46.130577,14.594985
204351,Cesta na Kope,46.074371,14.5832
204062,Hrastje,46.074799,14.563823
304021,Osenjakova,46.056145,14.560692
204462,Stadion Domžale,46.13633,14.600286
503042,Peruzzijeva,46.030331,14.531704
835012,Verje,46.143543,14.418136
103032,AMZS,46.077362,14.51225
303072,Brodarjev trg,46.054253,14.553328
204213,Agrokombinatska,46.069786,14.603301
804511,GLINCE,46.081589,14.441282
803171,Spar,46.076797,14.466884
614112,Jurečič,45.989647,14.452224
804381,Zapuže,46.083363,14.458467
804142,Tacenski most,46.118279,14.461996
102012,Samova,46.066757,14.504848
103162,Maroltova,46.079155,14.519899
805011,Medvoška a.p.,46.138283,14.413459
204402,Ihan Flerin,46.109676,14.621889
404031,Dobrunje,46.043274,14.579272
803181,KAMNA GORICA,46.079453,14.46512
625032,Staje,45.957447,14.513635
744012,Šolska,46.016609,14.414465
802021,Kino Šiška,46.069672,14.489463
404182,Dobrunjska c.,46.038548,14.57834
745061,JEZERO,45.970776,14.434675
614102,Zidarjevec 2,46.003738,14.484721
504071,Pod Hribom,46.006317,14.549175
403052,Emona,46.0476,14.545068
204482,Dragomelj - 1,46.110237,14.593427
104132,Pot v Smrečje,46.10928,14.528426
406071,Lanišče,46.045288,14.709576
703201,Ježkova,46.045315,14.462172
600022,Ajdovščina,46.053761,14.504131
604051,Pri Maranzu,46.007607,14.514395
303081,Nusdorferjeva,46.049301,14.547774
