Source,Target,Type,Weight,EdgeType,routes,dist_m
104161,104152,Directed,1508.17,WALK,,139.3
802022,803016,Directed,120.9,BUS,"22, 5, N5",0.0
802022,803014,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
802022,803012,Directed,130.12,BUS,"3, 3B, 8",0.0
802022,802032,Directed,467.57,WALK,,291.7
802022,802031,Directed,465.79,WALK,,289.2
802022,802021,Directed,210.95,WALK,,83.2
803122,804172,Directed,259.2,BUS,7,0.0
803122,803121,Directed,325.29,WALK,,92.5
404102,404112,Directed,611.32,BUS,24,0.0
404102,404101,Directed,626.58,WALK,,21.4
103111,103091,Directed,152.83,BUS,"14, 18",0.0
103111,103122,Directed,425.56,WALK,,289.3
103111,103112,Directed,379.67,WALK,,23.9
103111,103121,Directed,418.54,WALK,,279.5
203142,203192,Directed,241.79,BUS,27,0.0
203142,203062,Directed,611.32,BUS,24,0.0
203142,203241,Directed,792.36,WALK,,253.4
203142,203141,Directed,451.9,WALK,,35.5
203142,203122,Directed,444.7,WALK,,284.1
203142,203121,Directed,452.72,WALK,,295.3
804112,804142,Directed,255.12,BUS,"1B, 8, N1",0.0
804112,804121,Directed,2945.45,BUS,N1,0.0
804112,804111,Directed,304.86,WALK,,69.6
804112,804131,Directed,846.23,WALK,,219.6
304101,304141,Directed,145.95,BUS,"24, 26, 27",0.0
304101,304121,Directed,548.19,WALK,,252.0
304101,304102,Directed,398.79,WALK,,42.9
304101,304122,Directed,559.95,WALK,,268.5
602101,602061,Directed,46.22,BUS,"11, 11B, 19B, 19I, 2, 27, 3, 3B, N3, N3B",0.0
602101,602102,Directed,162.5,WALK,,29.3
603012,603022,Directed,144.0,BUS,"1, 1B",0.0
603012,603022,Directed,258.37,WALK,,160.1
603012,603011,Directed,269.24,WALK,,184.7
603012,603021,Directed,239.49,WALK,,143.1
203091,203041,Directed,60.34,BUS,"12D, 2, 24, 27, 7",0.0
203091,203101,Directed,238.65,WALK,,249.6
203091,203092,Directed,267.22,WALK,,148.6
203091,203042,Directed,204.49,WALK,,201.8
104221,104211,Directed,255.12,BUS,"1B, 8, N1",0.0
104221,104361,Directed,1408.7,BUS,28,0.0
104221,104361,Directed,1588.08,WALK,,251.1
104221,104362,Directed,1536.92,WALK,,179.5
600012,600022,Directed,24.92,BUS,"11, 11B, 14, 18, 18L, 19B, 19I, 2, 27, 6, 6B, 9, N3, N3B",0.0
600012,600032,Directed,140.87,BUS,"13, 20, 20Z, N5",0.0
600012,700012,Directed,85.71,BUS,"25, 7, 8, N1, SŽ",0.0
600012,700012,Directed,1138.7,WALK,,258.9
600012,600011,Directed,863.74,WALK,,37.7
600012,300015,Directed,447.71,WALK,,245.6
600012,700011,Directed,305.54,WALK,,225.3
600012,500011,Directed,370.23,WALK,,241.1
803042,804012,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
803042,803041,Directed,139.67,WALK,,59.3
603082,602121,Directed,195.18,BUS,"16, 19B, 19I",0.0
603082,603081,Directed,791.6,WALK,,40.2
603082,603171,Directed,337.53,WALK,,155.3
603082,603172,Directed,331.83,WALK,,147.4
415031,425011,Directed,925.71,BUS,26,0.0
415031,415032,Directed,935.79,WALK,,14.1
803152,804202,Directed,226.57,BUS,"5, N5",0.0
803152,803151,Directed,239.84,WALK,,18.6
803152,803161,Directed,356.5,WALK,,136.2
803152,803162,Directed,376.83,WALK,,164.7
203102,203152,Directed,80.4,BUS,"12D, 2, 24, 7",0.0
203102,203112,Directed,430.83,WALK,,264.7
203102,203101,Directed,160.79,WALK,,140.6
203102,203151,Directed,279.73,WALK,,279.1
203102,203092,Directed,330.14,WALK,,236.7
203102,203111,Directed,420.99,WALK,,250.9
403042,403052,Directed,86.86,BUS,"13, 5, 9, N5",0.0
403042,403072,Directed,611.32,BUS,24,0.0
403042,403041,Directed,466.73,WALK,,132.0
403042,403043,Directed,244.96,WALK,,68.6
202011,301011,Directed,90.25,BUS,"12D, 2, 27",0.0
